,index,product_id,composition,fit,size,color,style_id,color_id,scrape_datetime
35,1,1099503001,"Polyester 65%, Cotton 35%",Loose fit,"The model is 183cm/6'0"" and wears a size 31/32",Denim gray,1099503,001,2022-10-31 19:42:43
36,0,0985159005,"Cotton 99%, Spandex 1%",Skinny fit,,Dark blue,0985159,005,2022-10-31 19:42:43
37,1,0985159005,Cotton 100%,Skinny fit,,Dark blue,0985159,005,2022-10-31 19:42:43
38,0,0979945003,Cotton 100%,Loose fit,"The model is 185cm/6'1"" and wears a size 31/32",Black,0979945,003,2022-10-31 19:42:43
39,1,0979945003,"Polyester 65%, Cotton 35%",Loose fit,"The model is 185cm/6'1"" and wears a size 31/32",Black,0979945,003,2022-10-31 19:42:43
40,0,0985159007,"Cotton 99%, Spandex 1%",Skinny fit,,Denim blue,0985159,007,2022-10-31 19:42:43
41,1,0985159007,"Polyester 65%, Cotton 35%",Skinny fit,,Denim blue,0985159,007,2022-10-31 19:42:43
42,0,1024256002,"Cotton 99%, Spandex 1%",Slim fit,"The model is 189cm/6'2"" and wears a size 31/32",Light denim blue,1024256,002,2022-10-31 19:42:43
43,1,1024256002,"Polyester 65%, Cotton 35%",Slim fit,"The model is 189cm/6'2"" and wears a size 31/32",Light denim blue,1024256,002,2022-10-31 19:42:43
44,0,0690449051,"Cotton 98%, Spandex 2%",Skinny fit,,Gray,0690449,051,2022-10-31 19:42:43
45,0,0690449036,"Cotton 98%, Spandex 2%",Skinny fit,,Black,0690449,036,2022-10-31 19:42:43
46,0,1071707010,Cotton 100%,Relaxed fit,"The model is 183cm/6'0"" and wears a size 31/32",Denim gray,1071707,010,2022-10-31 19:42:43
47,1,1071707010,"Polyester 65%, Cotton 35%",Relaxed fit,"The model is 183cm/6'0"" and wears a size 31/32",Denim gray,1071707,010,2022-10-31 19:42:43
48,0,1008110002,"Cotton 90%, Elastomultiester 8%, Spandex 2%",Slim fit,,Black/No fade black,1008110,002,2022-10-31 19:42:43
49,1,1008110002,Cotton 100%,Slim fit,,Black/No fade black,1008110,002,2022-10-31 19:42:43
50,0,0979945001,Cotton 100%,Loose fit,,Light denim blue,0979945,001,2022-10-31 19:42:43
51,1,0979945001,"Polyester 65%, Cotton 35%",Loose fit,,Light denim blue,0979945,001,2022-10-31 19:42:43
52,0,1013317006,"Cotton 79%, Polyester 20%, Spandex 1%",Regular fit,"The model is 185cm/6'1"" and wears a size M",Black,1013317,006,2022-10-31 19:42:43
53,0,1008110001,"Cotton 90%, Elastomultiester 8%, Spandex 2%",Slim fit,"The model is 183cm/6'0"" and wears a size 32/32",Dark denim blue,1008110,001,2022-10-31 19:42:43
54,1,1008110001,"Polyester 80%, Cotton 20%",Slim fit,"The model is 183cm/6'0"" and wears a size 32/32",Dark denim blue,1008110,001,2022-10-31 19:42:43
55,0,0985159008,"Cotton 99%, Spandex 1%",Skinny fit,"The model is 182cm/6'0"" and wears a size 32/32",Dark gray,0985159,008,2022-10-31 19:42:43
56,1,0985159008,"Polyester 65%, Cotton 35%",Skinny fit,"The model is 182cm/6'0"" and wears a size 32/32",Dark gray,0985159,008,2022-10-31 19:42:43
